Time (ms),Type,Order ID,Size,Price,Direction,,Ask Price 1,Ask Size 1,Bid Price 1,Bid Size 1,,Price (plot),Ask Price 1 (plot),Ask Size 1 (plot),Bid Price 1 (plot),Bid Size 1 (plot)
34205.62175,5,0,72,2239000,1,,2239500,100,2238900.00,200,,223.9,223.95,100,223.89,200
34205.88822,3,16763343,100,2240500,-1,,2239500,100,2238900.00,200,,224.05,223.95,100,223.89,200
34205.88822,1,16797917,100,2240300,-1,,2239500,100,2238900.00,200,,224.03,223.95,100,223.89,200
34205.91945,1,16799433,100,2240200,-1,,2239500,100,2238900.00,200,,224.02,223.95,100,223.89,200
34206.15154,1,16811014,100,2240200,-1,,2239500,200,2238900.00,200,,224.02,223.95,200,223.89,200
34206.55539,1,16830499,100,2238900,1,,2239500,200,2238900.00,300,,223.89,223.95,200,223.89,300
34207.02466,5,0,10,2239300,1,,2239500,200,2238900.00,300,,223.93,223.95,200,223.89,300
34207.02466,5,0,28,2239000,1,,2239500,200,2238900.00,300,,223.9,223.95,200,223.89,300
34207.02466,5,0,26,2239000,1,,2239500,200,2238900.00,300,,223.9,223.95,200,223.89,300
34207.23254,3,16732821,100,2238900,1,,2239500,200,2238900.00,200,,223.89,223.95,200,223.89,200
34207.23265,5,0,74,2239000,1,,2239500,200,2238900.00,200,,223.9,223.95,200,223.89,200
34207.23265,5,0,113,2239000,1,,2239500,200,2238900.00,200,,223.9,223.95,200,223.89,200
34207.23265,4,16451737,13,2238900,1,,2239500,200,2238900.00,187,,223.89,223.95,200,223.89,187
34207.27207,3,16451737,87,2238900,1,,2239500,200,2238900.00,100,,223.89,223.95,200,223.89,100
34207.27207,1,16866136,87,2239000,1,,2239500,200,2239000.00,87,,223.9,223.95,200,223.9,87
34207.31216,3,16866136,87,2239000,1,,2239500,200,2238900.00,100,,223.9,223.95,200,223.89,100
34207.31216,1,16867608,87,2239100,1,,2239500,200,2239100.00,87,,223.91,223.95,200,223.91,87
34207.3195,4,16799433,71,2240200,-1,,2239500,129,2239100.00,87,,224.02,223.95,129,223.91,87
34207.35959,4,16799433,29,2240200,-1,,2239500,100,2239100.00,87,,224.02,223.95,100,223.91,87
34207.35959,4,16811014,71,2240200,-1,,2239500,29,2239100.00,87,,224.02,223.95,29,223.91,87
34207.40968,3,16867608,87,2239100,1,,2239500,29,2238900.00,100,,223.91,223.95,29,223.89,100
34207.40968,1,16873976,87,2239200,1,,2239500,29,2239200.00,87,,223.92,223.95,29,223.92,87
34207.71831,3,16811014,29,2240200,-1,,2239500,100,2239200.00,87,,224.02,223.95,100,223.92,87
34207.71831,1,16887475,29,2240700,-1,,2239500,129,2239200.00,87,,224.07,223.95,129,223.92,87
34208.99603,1,16929385,77,2239200,1,,2239500,129,2239200.00,164,,223.92,223.95,129,223.92,164
34209.33946,1,16943725,100,2239200,1,,2239500,129,2239200.00,264,,223.92,223.95,129,223.92,264
34209.70973,3,16887475,29,2240700,-1,,2239500,100,2239200.00,264,,224.07,223.95,100,223.92,264
34209.70973,1,16954459,29,2240600,-1,,2239500,29,2239200.00,264,,224.06,223.95,29,223.92,264
34209.76668,3,16954459,29,2240600,-1,,2239500,100,2239200.00,264,,224.06,223.95,100,223.92,264
34209.76668,1,16956634,29,2240700,-1,,2239500,129,2239200.00,264,,224.07,223.95,129,223.92,264
34209.78733,3,16956634,29,2240700,-1,,2239500,100,2239200.00,264,,224.07,223.95,100,223.92,264
34209.78733,1,16958151,29,2240500,-1,,2239500,29,2239200.00,264,,224.05,223.95,29,223.92,264
34210.20649,1,16984035,100,2239200,1,,2239500,29,2239200.00,364,,223.92,223.95,29,223.92,364
34210.51521,3,16958151,29,2240500,-1,,2239500,100,2239200.00,364,,224.05,223.95,100,223.92,364
34210.51521,1,17004982,29,2240400,-1,,2239500,29,2239200.00,364,,224.04,223.95,29,223.92,364
34210.70647,3,17004982,29,2240400,-1,,2239500,100,2239200.00,364,,224.04,223.95,100,223.92,364
34210.70647,1,17017091,29,2240300,-1,,2239500,29,2239200.00,364,,224.03,223.95,29,223.92,364
34210.91042,3,17017091,29,2240300,-1,,2239500,100,2239200.00,364,,224.03,223.95,100,223.92,364
34210.91042,1,17030256,29,2240400,-1,,2239500,29,2239200.00,364,,224.04,223.95,29,223.92,364
34210.96698,4,17030256,29,2240400,-1,,2239500,100,2239200.00,364,,224.04,223.95,100,223.92,364
34210.96698,5,0,71,2240400,-1,,2239500,100,2239200.00,364,,224.04,223.95,100,223.92,364
34211.61861,1,17063006,400,2240700,-1,,2239500,500,2239200.00,364,,224.07,223.95,500,223.92,364
34211.94311,4,16728917,100,2240700,-1,,2239500,400,2239200.00,364,,224.07,223.95,400,223.92,364
34211.94311,4,17063006,300,2240700,-1,,2239500,100,2239200.00,364,,224.07,223.95,100,223.92,364
34211.96704,4,17063006,100,2240700,-1,,2239500,1100,2239200.00,364,,224.07,223.95,1100,223.92,364
34211.96797,4,16681306,100,2241000,-1,,2239500,1000,2239200.00,364,,224.1,223.95,1000,223.92,364
34211.97017,4,16681306,100,2241000,-1,,2239500,900,2239200.00,364,,224.1,223.95,900,223.92,364
34212.16169,1,17084297,100,2239300,1,,2239500,900,2239300.00,100,,223.93,223.95,900,223.93,100
34212.1651,3,16681306,900,2241000,-1,,2239500,20,2239300.00,100,,224.1,223.95,20,223.93,100
34212.16532,5,0,317,2239500,1,,2239500,20,2239300.00,100,,223.95,223.95,20,223.93,100
34212.16532,5,0,100,2239400,1,,2239500,20,2239300.00,100,,223.94,223.95,20,223.93,100
34212.16532,4,17084297,100,2239300,1,,2239500,20,2239200.00,364,,223.93,223.95,20,223.92,364
34212.16532,5,0,112,2239300,1,,2239500,20,2239200.00,364,,223.93,223.95,20,223.92,364
34212.16532,5,0,203,2239300,1,,2239500,20,2239200.00,364,,223.93,223.95,20,223.92,364
34212.37438,1,17094470,100,2240900,1,,2239500,20,2240900.00,100,,224.09,223.95,20,224.09,100
34212.37604,1,17094575,100,2240900,1,,2239500,20,2240900.00,200,,224.09,223.95,20,224.09,200
34212.37613,3,17094470,100,2240900,1,,2239500,20,2240900.00,100,,224.09,223.95,20,224.09,100
34212.37613,1,17094576,100,2241300,1,,2239500,20,2241300.00,100,,224.13,223.95,20,224.13,100
34212.37645,4,17094576,100,2241300,1,,2239500,20,2240900.00,100,,224.13,223.95,20,224.09,100
34212.37748,3,17094575,100,2240900,1,,2239500,20,2239200.00,364,,224.09,223.95,20,223.92,364
34212.46171,3,16943725,100,2239200,1,,2239500,20,2239200.00,264,,223.92,223.95,20,223.92,264
34212.48796,1,17097634,100,2240900,1,,2239500,20,2240900.00,100,,224.09,223.95,20,224.09,100
34212.53005,1,17099230,87,2240900,1,,2239500,20,2240900.00,187,,224.09,223.95,20,224.09,187
34212.5771,3,17097634,100,2240900,1,,2239500,20,2240900.00,87,,224.09,223.95,20,224.09,87
34212.67796,3,17099230,87,2240900,1,,2239500,20,2239200.00,177,,224.09,223.95,20,223.92,177
34212.67796,1,17103292,87,2239300,1,,2239500,20,2239300.00,87,,223.93,223.95,20,223.93,87
34213.1868,1,17118179,100,2240900,1,,2239500,20,2240900.00,100,,224.09,223.95,20,224.09,100
34213.22785,1,17119109,87,2240900,1,,2239500,20,2240900.00,187,,224.09,223.95,20,224.09,187
